student_name,grade_level,course_name,term,teacher_name,term_grade
Sebastian Espinoza,0,Grade 0 Reading,Fall 2025,Marisol Perez,D
Sebastian Espinoza,0,Grade 0 Reading,Spring 2026,Miguel Kim,B
Sebastian Espinoza,0,Grade 0 Reading,Fall 2026,Felix Yazzie,A
Sebastian Espinoza,0,Grade 0 Mathematics,Fall 2025,Jasmine Martinez,B
Sebastian Espinoza,0,Grade 0 Mathematics,Spring 2026,Javier Silva,B
Sebastian Espinoza,0,Grade 0 Mathematics,Fall 2026,Ana Silva,F
Sebastian Espinoza,0,Grade 0 Science,Fall 2025,Adrian Velasquez,C
Sebastian Espinoza,0,Grade 0 Science,Spring 2026,Valeria Cruz,D
Sebastian Espinoza,0,Grade 0 Science,Fall 2026,Keisha Bell,A
Sebastian Espinoza,0,Grade 0 Social Studies,Fall 2025,Ana Tsosie,A
Sebastian Espinoza,0,Grade 0 Social Studies,Spring 2026,Hana Ortiz,C
Sebastian Espinoza,0,Grade 0 Social Studies,Fall 2026,Beatriz Padilla,A
Kaya Romero,3,Grade 3 Reading,Fall 2025,Sebastian Gomez,C
Kaya Romero,3,Grade 3 Reading,Spring 2026,Tomas Bennett,B
Kaya Romero,3,Grade 3 Reading,Fall 2026,Aaliyah Chen,B
Kaya Romero,3,Grade 3 Mathematics,Fall 2025,Gabriela Ramirez,B
Kaya Romero,3,Grade 3 Mathematics,Spring 2026,Adrian Ibarra,C
Kaya Romero,3,Grade 3 Mathematics,Fall 2026,Aaliyah Chen,A
Kaya Romero,3,Grade 3 Science,Fall 2025,Kenji Gomez,C
Kaya Romero,3,Grade 3 Science,Spring 2026,Uriel Yazzie,D
Kaya Romero,3,Grade 3 Science,Fall 2026,Rosa Cruz,C
Kaya Romero,3,Grade 3 Social Studies,Fall 2025,Tomas Bennett,C
Kaya Romero,3,Grade 3 Social Studies,Spring 2026,Beatriz Romero,C
Kaya Romero,3,Grade 3 Social Studies,Fall 2026,Andre Nguyen,B
Kaya Romero,3,Grade 3 Art,Fall 2025,Felix Yazzie,A
Kaya Romero,3,Grade 3 Art,Spring 2026,Xavier Torres,A
Kaya Romero,3,Grade 3 Art,Fall 2026,Beatriz Romero,A
Tomas Chavez,8,Grade 8 Reading,Fall 2025,Uriel Chavez,B
Tomas Chavez,8,Grade 8 Reading,Spring 2026,Renata Valdez,A
Tomas Chavez,8,Grade 8 Reading,Fall 2026,Nadia Yazzie,F
Tomas Chavez,8,Grade 8 Mathematics,Fall 2025,Beatriz Chavez,B
Tomas Chavez,8,Grade 8 Mathematics,Spring 2026,Paloma Jimenez,A
Tomas Chavez,8,Grade 8 Mathematics,Fall 2026,Javier Silva,C
Tomas Chavez,8,Grade 8 Science,Fall 2025,Javier Patel,A
Tomas Chavez,8,Grade 8 Science,Spring 2026,Omar Ibarra,B
Tomas Chavez,8,Grade 8 Science,Fall 2026,Hana Ortiz,A
Celeste Tsosie,4,Grade 4 Reading,Fall 2025,Jasmine Martinez,B
Celeste Tsosie,4,Grade 4 Reading,Spring 2026,Renata Chen,A
Celeste Tsosie,4,Grade 4 Reading,Fall 2026,Gabriela Ramirez,C
Celeste Tsosie,4,Grade 4 Mathematics,Fall 2025,Adrian Ibarra,C
Celeste Tsosie,4,Grade 4 Mathematics,Spring 2026,Jasmine Martinez,A
Celeste Tsosie,4,Grade 4 Mathematics,Fall 2026,Felix Nguyen,B
Celeste Tsosie,4,Grade 4 Science,Fall 2025,Hana Valdez,C
Celeste Tsosie,4,Grade 4 Science,Spring 2026,Marisol Padilla,D
Celeste Tsosie,4,Grade 4 Science,Fall 2026,Kenji Mendoza,F
Celeste Tsosie,4,Grade 4 Social Studies,Fall 2025,Paloma Jimenez,B
Celeste Tsosie,4,Grade 4 Social Studies,Spring 2026,Beatriz Padilla,A
Celeste Tsosie,4,Grade 4 Social Studies,Fall 2026,Keisha Bell,A
Celeste Tsosie,4,Grade 4 Art,Fall 2025,Ana Tsosie,B
Celeste Tsosie,4,Grade 4 Art,Spring 2026,Uriel Chavez,B
Celeste Tsosie,4,Grade 4 Art,Fall 2026,Kaya Gomez,D
Diego Young,4,Grade 4 Reading,Fall 2025,Jasmine Martinez,A
Diego Young,4,Grade 4 Reading,Spring 2026,Renata Chen,C
Diego Young,4,Grade 4 Reading,Fall 2026,Gabriela Ramirez,A
Diego Young,4,Grade 4 Mathematics,Fall 2025,Adrian Ibarra,A
Diego Young,4,Grade 4 Mathematics,Spring 2026,Jasmine Martinez,A
Diego Young,4,Grade 4 Mathematics,Fall 2026,Felix Nguyen,C
Diego Young,4,Grade 4 Science,Fall 2025,Hana Valdez,A
Diego Young,4,Grade 4 Science,Spring 2026,Marisol Padilla,A
Diego Young,4,Grade 4 Science,Fall 2026,Kenji Mendoza,B
Diego Young,4,Grade 4 Social Studies,Fall 2025,Paloma Jimenez,C
Diego Young,4,Grade 4 Social Studies,Spring 2026,Beatriz Padilla,C
Diego Young,4,Grade 4 Social Studies,Fall 2026,Keisha Bell,A
Diego Young,4,Grade 4 Art,Fall 2025,Ana Tsosie,A
Diego Young,4,Grade 4 Art,Spring 2026,Uriel Chavez,B
Diego Young,4,Grade 4 Art,Fall 2026,Kaya Gomez,B
Samuel Jackson,3,Grade 3 Reading,Fall 2025,Sebastian Gomez,C
Samuel Jackson,3,Grade 3 Reading,Spring 2026,Tomas Bennett,C
Samuel Jackson,3,Grade 3 Reading,Fall 2026,Aaliyah Chen,B
Samuel Jackson,3,Grade 3 Mathematics,Fall 2025,Gabriela Ramirez,D
Samuel Jackson,3,Grade 3 Mathematics,Spring 2026,Adrian Ibarra,D
Samuel Jackson,3,Grade 3 Mathematics,Fall 2026,Aaliyah Chen,D
Samuel Jackson,3,Grade 3 Science,Fall 2025,Kenji Gomez,A
Samuel Jackson,3,Grade 3 Science,Spring 2026,Uriel Yazzie,C
Samuel Jackson,3,Grade 3 Science,Fall 2026,Rosa Cruz,B
Samuel Jackson,3,Grade 3 Social Studies,Fall 2025,Tomas Bennett,A
Samuel Jackson,3,Grade 3 Social Studies,Spring 2026,Beatriz Romero,B
Samuel Jackson,3,Grade 3 Social Studies,Fall 2026,Andre Nguyen,A
Samuel Jackson,3,Grade 3 Art,Fall 2025,Felix Yazzie,B
Samuel Jackson,3,Grade 3 Art,Spring 2026,Xavier Torres,A
Samuel Jackson,3,Grade 3 Art,Fall 2026,Beatriz Romero,C
Mateo Robinson,7,Grade 7 Reading,Fall 2025,Renata Delgado,C
Mateo Robinson,7,Grade 7 Reading,Spring 2026,Rosa Mendoza,A
Mateo Robinson,7,Grade 7 Reading,Fall 2026,Hana Valdez,A
Mateo Robinson,7,Grade 7 Mathematics,Fall 2025,Beatriz Padilla,A
Mateo Robinson,7,Grade 7 Mathematics,Spring 2026,Wren Sanchez,A
Mateo Robinson,7,Grade 7 Mathematics,Fall 2026,Nathan Foster,F
Mateo Robinson,7,Grade 7 Science,Fall 2025,Miguel Kim,C
Mateo Robinson,7,Grade 7 Science,Spring 2026,Aaliyah Chen,B
Mateo Robinson,7,Grade 7 Science,Fall 2026,Keisha Bell,A
Mateo Robinson,7,Grade 7 Social Studies,Fall 2025,Tomas  Jimenez,B
Mateo Robinson,7,Grade 7 Social Studies,Spring 2026,Beatriz Romero,B
Mateo Robinson,7,Grade 7 Social Studies,Fall 2026,Renata Valdez,D
Mateo Robinson,7,Grade 7 Art,Fall 2025,Kenji Gomez,B
Mateo Robinson,7,Grade 7 Art,Spring 2026,Rosa Mendoza,C
Mateo Robinson,7,Grade 7 Art,Fall 2026,Sebastian Gomez,A
Leon Santos,1,Grade 1 Reading,Fall 2025,Paloma Jimenez,D
Leon Santos,1,Grade 1 Reading,Spring 2026,Javier Silva,D
Leon Santos,1,Grade 1 Reading,Fall 2026,Jasmine Silva,D
Leon Santos,1,Grade 1 Mathematics,Fall 2025,Quentin Singh,B
Leon Santos,1,Grade 1 Mathematics,Spring 2026,Samuel Williams,C
Leon Santos,1,Grade 1 Mathematics,Fall 2026,Hector Santos,D
Leon Santos,1,Grade 1 Science,Fall 2025,Hana Valdez,A
Leon Santos,1,Grade 1 Science,Spring 2026,Nadia Yazzie,C
Leon Santos,1,Grade 1 Science,Fall 2026,Rosa Mendoza,B
Leon Santos,1,Grade 1 Social Studies,Fall 2025,Kenji Mendoza,C
Leon Santos,1,Grade 1 Social Studies,Spring 2026,Tomas J.,B
Leon Santos,1,Grade 1 Social Studies,Fall 2026,Keisha Bell,A
Gabriela Lopez,4,Grade 4 Reading,Fall 2025,Jasmine Martinez,B
Gabriela Lopez,4,Grade 4 Reading,Spring 2026,Renata Chen,D
Gabriela Lopez,4,Grade 4 Reading,Fall 2026,Gabriela Ramirez,B
Gabriela Lopez,4,Grade 4 Mathematics,Fall 2025,Adrian Ibarra,A
Gabriela Lopez,4,Grade 4 Mathematics,Spring 2026,Jasmine Martinez,A
Gabriela Lopez,4,Grade 4 Mathematics,Fall 2026,Felix Nguyen,B
Gabriela Lopez,4,Grade 4 Science,Fall 2025,Hana Valdez,A
Gabriela Lopez,4,Grade 4 Science,Spring 2026,Marisol Padilla,C
Gabriela Lopez,4,Grade 4 Science,Fall 2026,Kenji Mendoza,C
Gabriela Lopez,4,Grade 4 Social Studies,Fall 2025,Paloma Jimenez,C
Gabriela Lopez,4,Grade 4 Social Studies,Spring 2026,Beatriz Padilla,C
Gabriela Lopez,4,Grade 4 Social Studies,Fall 2026,Keisha Bell,C
Gabriela Lopez,4,Grade 4 Art,Fall 2025,Ana Tsosie,B
Gabriela Lopez,4,Grade 4 Art,Spring 2026,Uriel Chavez,C
Gabriela Lopez,4,Grade 4 Art,Fall 2026,Kaya Gomez,B
Aaliyah Silva,8,Grade 8 Reading,Fall 2025,Uriel Chavez,B
Aaliyah Silva,8,Grade 8 Reading,Spring 2026,Renata Valdez,C
Aaliyah Silva,8,Grade 8 Reading,Fall 2026,Nadia Yazzie,A
Aaliyah Silva,8,Grade 8 Mathematics,Fall 2025,Beatriz Chavez,B
Aaliyah Silva,8,Grade 8 Mathematics,Spring 2026,Paloma Jimenez,D
Aaliyah Silva,8,Grade 8 Mathematics,Fall 2026,Javier Silva,D
Aaliyah Silva,8,Grade 8 Science,Fall 2025,Javier Patel,C
Aaliyah Silva,8,Grade 8 Science,Spring 2026,Omar Ibarra,B
Aaliyah Silva,8,Grade 8 Science,Fall 2026,Hana Ortiz,B
Yara Martinez,5,Grade 5 Reading,Fall 2025,Tomas Jimenez,B
Yara Martinez,5,Grade 5 Reading,Spring 2026,Felix Yazzie,B
Yara Martinez,5,Grade 5 Reading,Fall 2026,Xavier Torres,B
Yara Martinez,5,Grade 5 Mathematics,Fall 2025,Kaya Gomez,A
Yara Martinez,5,Grade 5 Mathematics,Spring 2026,Nadia Yazzie,C
Yara Martinez,5,Grade 5 Mathematics,Fall 2026,Kenji Mendoza,A
Yara Martinez,5,Grade 5 Science,Fall 2025,Beatriz Padilla,D
Yara Martinez,5,Grade 5 Science,Spring 2026,Aaliyah Chen,A
Yara Martinez,5,Grade 5 Science,Fall 2026,Gabriela Ramirez,C
Yara Martinez,5,Grade 5 Social Studies,Fall 2025,Hana Ortiz,A
Yara Martinez,5,Grade 5 Social Studies,Spring 2026,Javier Patel,B
Yara Martinez,5,Grade 5 Social Studies,Fall 2026,Rosa Cruz,B
Yara Martinez,5,Grade 5 Art,Fall 2025,Hector Vasquez,C
Yara Martinez,5,Grade 5 Art,Spring 2026,Rosa Cruz,C
Yara Martinez,5,Grade 5 Art,Fall 2026,Jasmine Silva,A
Miguel Espinoza,4,Grade 4 Reading,Fall 2025,Jasmine Martinez,C
Miguel Espinoza,4,Grade 4 Reading,Spring 2026,Renata Chen,B
Miguel Espinoza,4,Grade 4 Reading,Fall 2026,Gabriela Ramirez,A
Miguel Espinoza,4,Grade 4 Mathematics,Fall 2025,Adrian Ibarra,C
Miguel Espinoza,4,Grade 4 Mathematics,Spring 2026,Jasmine Martinez,A
Miguel Espinoza,4,Grade 4 Mathematics,Fall 2026,Felix Nguyen,A
Miguel Espinoza,4,Grade 4 Science,Fall 2025,Hana Valdez,B
Miguel Espinoza,4,Grade 4 Science,Spring 2026,Marisol Padilla,B
Miguel Espinoza,4,Grade 4 Science,Fall 2026,Kenji Mendoza,A
Miguel Espinoza,4,Grade 4 Social Studies,Fall 2025,Paloma Jimenez,A
Miguel Espinoza,4,Grade 4 Social Studies,Spring 2026,Beatriz Padilla,B
Miguel Espinoza,4,Grade 4 Social Studies,Fall 2026,Keisha Bell,A
Miguel Espinoza,4,Grade 4 Art,Fall 2025,Ana Tsosie,D
Miguel Espinoza,4,Grade 4 Art,Spring 2026,Uriel Chavez,A
Miguel Espinoza,4,Grade 4 Art,Fall 2026,Kaya Gomez,B
Talia Ramirez,6,Grade 6 Reading,Fall 2025,Hector Dominguez,D
Talia Ramirez,6,Grade 6 Reading,Spring 2026,Rosa Cruz,A
Talia Ramirez,6,Grade 6 Reading,Fall 2026,Marisol Padilla,B
Talia Ramirez,6,Grade 6 Mathematics,Fall 2025,Renata Chen,C
Talia Ramirez,6,Grade 6 Mathematics,Spring 2026,Xavier Torres,A
Talia Ramirez,6,Grade 6 Mathematics,Fall 2026,Ana Tsosie,C
Talia Ramirez,6,Grade 6 Science,Fall 2025,Renata Delgado,C
Talia Ramirez,6,Grade 6 Science,Spring 2026,Nadia Yazzie,A
Talia Ramirez,6,Grade 6 Science,Fall 2026,Xavier Torres,B
Talia Ramirez,6,Grade 6 Social Studies,Fall 2025,Nathan Foster,C
Talia Ramirez,6,Grade 6 Social Studies,Spring 2026,Nadia Yazzie,A
Talia Ramirez,6,Grade 6 Social Studies,Fall 2026,Hana Ortiz,A
Talia Ramirez,6,Grade 6 Art,Fall 2025,Tomas Bennett,B
Talia Ramirez,6,Grade 6 Art,Spring 2026,Aaliyah Chen,B
Talia Ramirez,6,Grade 6 Art,Fall 2026,Omar Ibarra,C
Marcus Reyes,0,Grade 0 Reading,Fall 2025,Marisol Perez,C
Marcus Reyes,0,Grade 0 Reading,Spring 2026,Miguel Kim,B
Marcus Reyes,0,Grade 0 Reading,Fall 2026,Felix Yazzie,A
Marcus Reyes,0,Grade 0 Mathematics,Fall 2025,Jasmine Martinez,B
Marcus Reyes,0,Grade 0 Mathematics,Spring 2026,Javier Silva,A
Marcus Reyes,0,Grade 0 Mathematics,Fall 2026,Ana Silva,C
Marcus Reyes,0,Grade 0 Science,Fall 2025,Adrian Velasquez,D
Marcus Reyes,0,Grade 0 Science,Spring 2026,Valeria Cruz,A
Marcus Reyes,0,Grade 0 Science,Fall 2026,Keisha Bell,B
Marcus Reyes,0,Grade 0 Social Studies,Fall 2025,Ana Tsosie,B
Marcus Reyes,0,Grade 0 Social Studies,Spring 2026,Hana Ortiz,B
Marcus Reyes,0,Grade 0 Social Studies,Fall 2026,Beatriz Padilla,A
Nia Ibarra,4,Grade 4 Reading,Fall 2025,Jasmine Martinez,B
Nia Ibarra,4,Grade 4 Reading,Spring 2026,Renata Chen,F
Nia Ibarra,4,Grade 4 Reading,Fall 2026,Gabriela Ramirez,C
Nia Ibarra,4,Grade 4 Mathematics,Fall 2025,Adrian Ibarra,B
Nia Ibarra,4,Grade 4 Mathematics,Spring 2026,Jasmine Martinez,F
Nia Ibarra,4,Grade 4 Mathematics,Fall 2026,Felix Nguyen,B
Nia Ibarra,4,Grade 4 Science,Fall 2025,Hana Valdez,D
Nia Ibarra,4,Grade 4 Science,Spring 2026,Marisol Padilla,C
Nia Ibarra,4,Grade 4 Science,Fall 2026,Kenji Mendoza,C
Nia Ibarra,4,Grade 4 Social Studies,Fall 2025,Paloma Jimenez,C
Nia Ibarra,4,Grade 4 Social Studies,Spring 2026,Beatriz Padilla,B
Nia Ibarra,4,Grade 4 Social Studies,Fall 2026,Keisha Bell,F
Nia Ibarra,4,Grade 4 Art,Fall 2025,Ana Tsosie,A
Nia Ibarra,4,Grade 4 Art,Spring 2026,Uriel Chavez,A
Nia Ibarra,4,Grade 4 Art,Fall 2026,Kaya Gomez,A
Leon Tsosie,0,Grade 0 Reading,Fall 2025,Marisol Perez,A
Leon Tsosie,0,Grade 0 Reading,Spring 2026,Miguel Kim,C
Leon Tsosie,0,Grade 0 Reading,Fall 2026,Felix Yazzie,B
Leon Tsosie,0,Grade 0 Mathematics,Fall 2025,Jasmine Martinez,B
Leon Tsosie,0,Grade 0 Mathematics,Spring 2026,Javier Silva,D
Leon Tsosie,0,Grade 0 Mathematics,Fall 2026,Ana Silva,C
Leon Tsosie,0,Grade 0 Science,Fall 2025,Adrian Velasquez,B
Leon Tsosie,0,Grade 0 Science,Spring 2026,Valeria Cruz,D
Leon Tsosie,0,Grade 0 Science,Fall 2026,Keisha Bell,A
Leon Tsosie,0,Grade 0 Social Studies,Fall 2025,Ana Tsosie,A
Leon Tsosie,0,Grade 0 Social Studies,Spring 2026,Hana Ortiz,C
Leon Tsosie,0,Grade 0 Social Studies,Fall 2026,Beatriz Padilla,A
Gabriela Gomez,8,Grade 8 Reading,Fall 2025,Uriel Chavez,A
Gabriela Gomez,8,Grade 8 Reading,Spring 2026,Renata Valdez,F
Gabriela Gomez,8,Grade 8 Reading,Fall 2026,Nadia Yazzie,C
Gabriela Gomez,8,Grade 8 Mathematics,Fall 2025,Beatriz Chavez,D
Gabriela Gomez,8,Grade 8 Mathematics,Spring 2026,Paloma Jimenez,A
Gabriela Gomez,8,Grade 8 Mathematics,Fall 2026,Javier Silva,B
Gabriela Gomez,8,Grade 8 Science,Fall 2025,Javier Patel,B
Gabriela Gomez,8,Grade 8 Science,Spring 2026,Omar Ibarra,B
Gabriela Gomez,8,Grade 8 Science,Fall 2026,Hana Ortiz,A
Benjamin Tsosie,7,Grade 7 Reading,Fall 2025,Renata Delgado,B
Benjamin Tsosie,7,Grade 7 Reading,Spring 2026,Rosa Mendoza,B
Benjamin Tsosie,7,Grade 7 Reading,Fall 2026,Hana Valdez,B
Benjamin Tsosie,7,Grade 7 Mathematics,Fall 2025,Beatriz Padilla,C
Benjamin Tsosie,7,Grade 7 Mathematics,Spring 2026,Wren Sanchez,A
Benjamin Tsosie,7,Grade 7 Mathematics,Fall 2026,Nathan Foster,A
Benjamin Tsosie,7,Grade 7 Science,Fall 2025,Miguel Kim,A
Benjamin Tsosie,7,Grade 7 Science,Spring 2026,Aaliyah Chen,B
Benjamin Tsosie,7,Grade 7 Science,Fall 2026,Keisha Bell,A
Benjamin Tsosie,7,Grade 7 Social Studies,Fall 2025,Tomas Jimenez,C
Benjamin Tsosie,7,Grade 7 Social Studies,Spring 2026,Beatriz Romero,B
Benjamin Tsosie,7,Grade 7 Social Studies,Fall 2026,Renata Valdez,D
Benjamin Tsosie,7,Grade 7 Art,Fall 2025,Kenji Gomez,B
Benjamin Tsosie,7,Grade 7 Art,Spring 2026,Rosa Mendoza,C
Benjamin Tsosie,7,Grade 7 Art,Fall 2026,Sebastian Gomez,B
Tanya Flores,1,Grade 1 Reading,Fall 2025,Paloma Jimenez,C
Tanya Flores,1,Grade 1 Reading,Spring 2026,Javier Silva,B
Tanya Flores,1,Grade 1 Reading,Fall 2026,Jasmine Silva,C
Tanya Flores,1,Grade 1 Mathematics,Fall 2025,Quentin Singh,B
Tanya Flores,1,Grade 1 Mathematics,Spring 2026,Samuel Williams,B
Tanya Flores,1,Grade 1 Mathematics,Fall 2026,Hector Santos,A
Tanya Flores,1,Grade 1 Science,Fall 2025,Hana Valdez,F
Tanya Flores,1,Grade 1 Science,Spring 2026,Nadia Yazzie,B
Tanya Flores,1,Grade 1 Science,Fall 2026,Rosa Mendoza,B
Tanya Flores,1,Grade 1 Social Studies,Fall 2025,Kenji Mendoza,C
Tanya Flores,1,Grade 1 Social Studies,Spring 2026,Tomas Jimenez,B
Tanya Flores,1,Grade 1 Social Studies,Fall 2026,Keisha Bell,A
Xavier Rivera,3,Grade 3 Reading,Fall 2025,Sebastian Gomez,A
Xavier Rivera,3,Grade 3 Reading,Spring 2026,Tomas Bennett,C
Xavier Rivera,3,Grade 3 Reading,Fall 2026,Aaliyah Chen,B
Xavier Rivera,3,Grade 3 Mathematics,Fall 2025,Gabriela Ramirez,D
Xavier Rivera,3,Grade 3 Mathematics,Spring 2026,Adrian Ibarra,C
Xavier Rivera,3,Grade 3 Mathematics,Fall 2026,Aaliyah Chen,D
Xavier Rivera,3,Grade 3 Science,Fall 2025,Kenji Gomez,C
Xavier Rivera,3,Grade 3 Science,Spring 2026,Uriel Yazzie,B
Xavier Rivera,3,Grade 3 Science,Fall 2026,Rosa Cruz,A
Xavier Rivera,3,Grade 3 Social Studies,Fall 2025,Tomas Bennett,B
Xavier Rivera,3,Grade 3 Social Studies,Spring 2026,Beatriz Romero,B
Xavier Rivera,3,Grade 3 Social Studies,Fall 2026,Andre Nguyen,A
Xavier Rivera,3,Grade 3 Art,Fall 2025,Felix Yazzie,A
Xavier Rivera,3,Grade 3 Art,Spring 2026,Xavier Torres,B
Xavier Rivera,3,Grade 3 Art,Fall 2026,Beatriz Romero,B
Carlos Robinson,0,Grade 0 Reading,Fall 2025,Marisol Perez,C
Carlos Robinson,0,Grade 0 Reading,Spring 2026,Miguel Kim,C
Carlos Robinson,0,Grade 0 Reading,Fall 2026,Felix Yazzie,B
Carlos Robinson,0,Grade 0 Mathematics,Fall 2025,Jasmine Martinez,B
Carlos Robinson,0,Grade 0 Mathematics,Spring 2026,Javier Silva,B
Carlos Robinson,0,Grade 0 Mathematics,Fall 2026,Ana Silva,B
Carlos Robinson,0,Grade 0 Science,Fall 2025,Adrian Velasquez,B
Carlos Robinson,0,Grade 0 Science,Spring 2026,Valeria Cruz,D
Carlos Robinson,0,Grade 0 Science,Fall 2026,Keisha Bell,B
Carlos Robinson,0,Grade 0 Social Studies,Fall 2025,Ana Tsosie,B
Carlos Robinson,0,Grade 0 Social Studies,Spring 2026,Hana Ortiz,C
Carlos Robinson,0,Grade 0 Social Studies,Fall 2026,Beatriz Padilla,A
Aaliyah Garcia,4,Grade 4 Reading,Fall 2025,Jasmine Martinez,A
Aaliyah Garcia,4,Grade 4 Reading,Spring 2026,Renata Chen,C
Aaliyah Garcia,4,Grade 4 Reading,Fall 2026,Gabriela Ramirez,A
Aaliyah Garcia,4,Grade 4 Mathematics,Fall 2025,Adrian Ibarra,C
Aaliyah Garcia,4,Grade 4 Mathematics,Spring 2026,Jasmine Martinez,A
Aaliyah Garcia,4,Grade 4 Mathematics,Fall 2026,Felix Nguyen,A
Aaliyah Garcia,4,Grade 4 Science,Fall 2025,Hana Valdez,D
Aaliyah Garcia,4,Grade 4 Science,Spring 2026,Marisol Padilla,D
Aaliyah Garcia,4,Grade 4 Science,Fall 2026,Kenji Mendoza,A
Aaliyah Garcia,4,Grade 4 Social Studies,Fall 2025,Paloma Jimenez,B
Aaliyah Garcia,4,Grade 4 Social Studies,Spring 2026,Beatriz Padilla,D
Aaliyah Garcia,4,Grade 4 Social Studies,Fall 2026,Keisha Bell,C
Aaliyah Garcia,4,Grade 4 Art,Fall 2025,Ana Tsosie,A
Aaliyah Garcia,4,Grade 4 Art,Spring 2026,Uriel Chavez,B
Aaliyah Garcia,4,Grade 4 Art,Fall 2026,Kaya Gomez,B
Valeria Vasquez,2,Grade 2 Reading,Fall 2025,Jasmine Martinez,C
Valeria Vasquez,2,Grade 2 Reading,Spring 2026,Aaliyah Chen,D
Valeria Vasquez,2,Grade 2 Reading,Fall 2026,Ana Tsosie,C
Valeria Vasquez,2,Grade 2 Mathematics,Fall 2025,Marisol Padilla,A
Valeria Vasquez,2,Grade 2 Mathematics,Spring 2026,Marisol Padilla,B
Valeria Vasquez,2,Grade 2 Mathematics,Fall 2026,Kaya Cruz,B
Valeria Vasquez,2,Grade 2 Science,Fall 2025,Ana Tsosie,B
Valeria Vasquez,2,Grade 2 Science,Spring 2026,Valeria Cruz,A
Valeria Vasquez,2,Grade 2 Science,Fall 2026,Nadia Yazzie,B
Valeria Vasquez,2,Grade 2 Social Studies,Fall 2025,Renata Chen,D
Valeria Vasquez,2,Grade 2 Social Studies,Spring 2026,Nadia Gutierrez,F
Valeria Vasquez,2,Grade 2 Social Studies,Fall 2026,Felix Nguyen,C
Noor Rivera,2,Grade 2 Reading,Fall 2025,Jasmine Martinez,A
Noor Rivera,2,Grade 2 Reading,Spring 2026,Aaliyah Chen,A
Noor Rivera,2,Grade 2 Reading,Fall 2026,Ana Tsosie,C
Noor Rivera,2,Grade 2 Mathematics,Fall 2025,Marisol Padilla,C
Noor Rivera,2,Grade 2 Mathematics,Spring 2026,Marisol Padilla,B
Noor Rivera,2,Grade 2 Mathematics,Fall 2026,Kaya Cruz,C
Noor Rivera,2,Grade 2 Science,Fall 2025,Ana Tsosie,B
Noor Rivera,2,Grade 2 Science,Spring 2026,Valeria Cruz,A
Noor Rivera,2,Grade 2 Science,Fall 2026,Nadia Yazzie,A
Noor Rivera,2,Grade 2 Social Studies,Fall 2025,Renata Chen,C
Noor Rivera,2,Grade 2 Social Studies,Spring 2026,Nadia Gutierrez,A
Noor Rivera,2,Grade 2 Social Studies,Fall 2026,Felix Nguyen,C
Uriel Dominguez,0,Grade 0 Reading,Fall 2025,Marisol Perez,A
Uriel Dominguez,0,Grade 0 Reading,Spring 2026,Miguel Kim,C
Uriel Dominguez,0,Grade 0 Reading,Fall 2026,Felix Yazzie,A
Uriel Dominguez,0,Grade 0 Mathematics,Fall 2025,Jasmine Martinez,C
