student_id,first_name,last_name,date_of_birth,grade_level,directory_opt_out
91,Wren,Sanchez,2014-03-28,7,f
92,Jonah,Jimenez,2018-01-09,3,f
93,Quentin,Nguyen,2021-10-09,0,f
94,Celeste,Medina,2015-01-20,6,t
95,Xavier,Morales,2017-06-25,4,f
96,Leon,Kim,2014-08-12,7,f
97,Rosa,Espinoza,2013-11-06,8,f
98,Daniel,Bennett,2021-01-08,0,f
99,Mateo,Hernandez,2014-10-16,7,f
100,Benjamin,Ramirez,2013-04-15,8,f
101,Gabriela,Medina,2016-11-04,5,f
102,Andre,Padilla,2016-10-15,5,f
103,Esperanza,Williams,2018-03-30,3,t
104,Rosa,Young,2019-11-09,2,f
105,Owen,Young,2014-05-15,7,f
106,Xavier,Kim,2017-07-26,4,f
107,Kaya,Hernandez,2014-02-24,7,f
108,Felix,Gomez,2019-03-12,2,f
109,Marcus,Sanchez,2015-10-26,6,f
110,Miguel,Castillo,2016-03-25,5,f
111,Javier,Reyes,2020-11-17,1,f
112,Kenji,Salazar,2013-12-29,8,f
113,Celeste,Bennett,2013-06-24,8,f
114,Talia,Valdez,2021-10-11,0,f
115,Victor,Ibarra,2014-07-08,7,f
116,Imani,Bennett,2021-01-06,0,f
117,Jonah,Robinson,2019-02-16,2,f
118,Daniel,Dominguez,2016-10-18,5,f
119,Elijah,Delgado,2018-07-27,3,f
120,Lena,Romero,2021-09-07,0,f
121,Rafael,Martinez,2021-09-28,0,f
122,Celeste,Garcia,2018-09-07,3,f
123,Carla,Patel,2014-06-23,7,f
124,Omar,Washington,2013-08-31,8,t
125,Jonah,Delgado,2016-06-26,5,f
126,Yusuf,Rivera,2019-05-25,2,f
127,Sebastian,Lopez,2015-09-27,6,f
128,Mateo,Gomez,2018-06-24,3,f
129,Felix,Vargas,2018-05-07,3,f
130,Diego,Hernandez,2021-03-24,0,f
131,Kaya,Foster,2021-04-21,0,f
132,Quentin,Singh,2017-03-04,4,f
133,Lucia,Ramirez,2015-10-11,6,f
134,Samuel,Salazar,2013-10-23,8,f
135,Valeria,Silva,2013-08-02,8,f
136,Hana,Delgado,2014-11-22,7,f
137,Miguel,Delgado,2013-09-07,8,t
138,Lucia,Robinson,2015-07-13,6,f
139,Kaya,Romero,2013-04-07,8,f
140,Quentin,Martinez,2021-10-01,0,f
141,Ana,Velasquez,2020-03-15,1,f
142,Tomas,Castillo,2013-12-17,8,f
143,Quentin,Ibarra,2019-09-17,2,f
144,Omar,Robinson,2021-04-01,0,f
145,Paloma,Martinez,2014-11-20,7,f
146,Yara,Patel,2021-12-03,0,f
147,Nia,Reyes,2016-11-13,5,f
148,Marcus,Morales,2013-07-13,8,f
149,Jonah,Mendoza,2019-10-22,2,f
150,Andre,Chen,2017-03-29,4,f
151,Paloma,Yazzie,2019-12-24,2,f
152,Marisol,Williams,2021-07-10,0,f
153,Javier,Castillo,2021-08-16,0,f
154,Tanya,Williams,2019-11-20,2,f
155,Hector,Santos,2016-05-06,5,t
156,Noor,Valdez,2018-01-26,3,f
157,Felix,Young,2019-05-14,2,f
158,Celeste,Santos,2018-01-10,3,t
159,Lucia,Yazzie,2020-06-09,1,f
160,Valeria,Cruz,2020-10-18,1,f
161,Xavier,Perez,2020-06-25,1,t
162,Nia,Salazar,2018-08-30,3,f
163,Nathan,Singh,2013-05-19,8,f
164,Alma,Santos,2018-06-06,3,f
165,Diego,Romero,2018-12-13,3,f
166,Kaya,Medina,2016-12-25,5,f
167,Alma,Ibarra,2017-12-04,4,f
168,Hana,Silva,2017-01-14,4,f
169,Nadia,Hernandez,2013-10-20,8,f
170,Jasmine,Perez,2017-09-25,4,f
171,Andre,Dominguez,2017-07-09,4,f
172,Esperanza,Chen,2018-11-29,3,f
173,Beatriz,Velasquez,2021-09-14,0,f
174,Victor,Valdez,2017-01-02,4,f
175,Rafael,Lopez,2019-10-27,2,f
176,Gabriela,Salazar,2014-07-18,7,f
177,Celeste,Foster,2016-11-08,5,f
178,Valeria,Reyes,2014-01-28,7,f
179,Adrian,Silva,2015-08-29,6,f
180,Talia,Washington,2020-01-30,1,f
181,Benjamin,Washington,2014-02-15,7,f
182,Felix,Lopez,2015-11-14,6,f
183,Jasmine,Bennett,2017-01-17,4,t
184,Aaliyah,Vasquez,2013-03-03,8,t
185,Diego,Acosta,2016-06-09,5,f
186,Renata,Chavez,2013-11-18,8,f
187,Wren,Young,2015-08-20,6,f
188,Jonah,Bennett,2014-06-08,7,f
189,Noor,Martinez,2015-05-18,6,f
190,Jonah,Lopez,2013-09-23,8,f
191,Celeste,Morales,2019-12-27,2,f
192,Esperanza,Jackson,2019-10-26,2,f
193,Elijah,Robinson,2014-05-04,7,f
194,Aaliyah,Young,2020-08-04,1,f
195,Gavin,Yazzie,2013-07-15,8,f
196,Carla,Castillo,2020-04-19,1,f
197,Wren,Williams,2015-11-05,6,f
198,Quentin,Gutierrez,2014-08-07,7,f
199,Samuel,Young,2020-11-15,1,f
200,Nathan,Mendoza,2015-11-02,6,f
201,Nadia,Vargas,2018-09-27,3,f
202,Gabriela,Vargas,2014-02-03,7,f
203,Isaac,Lopez,2021-11-02,0,f
204,Nathan,Ibarra,2019-04-20,2,f
205,Jonah,Delgado,2016-10-08,5,f
206,Isaac,Rivera,2018-12-21,3,f
207,Leon,Martinez,2017-07-02,4,t
208,Kaya,Delgado,2015-04-03,6,f
209,Yara,Nguyen,2017-06-21,4,f
210,Miguel,Vargas,2019-09-18,2,f
211,Gavin,Santos,2015-10-31,6,f
212,Miguel,Flores,2014-08-06,7,f
213,Hana,Acosta,2018-03-13,3,f
214,Nathan,Sanchez,2013-09-26,8,f
215,Daniel,Sanchez,2016-03-06,5,f
216,Felix,Gutierrez,2016-02-04,5,f
217,Nia,Santos,2015-08-01,6,f
218,Lena,Jackson,2019-12-13,2,f
219,Carla,Romero,2015-06-17,6,f
220,Tanya,Flores,2014-10-12,7,f
221,Serena,Silva,2020-12-28,1,f
222,Jasmine,Patel,2019-10-12,2,t
223,Imani,Torres,2013-03-30,8,f
224,Andre,Hernandez,2014-03-08,7,f
225,Jonah,Espinoza,2016-02-08,5,f
226,Gavin,Hernandez,2017-08-12,4,f
227,Dolores,Patel,2014-10-02,7,f
228,Tomas,Jackson,2013-04-25,8,f
229,Nia,Martinez,2015-04-13,6,f
230,Yara,Robinson,2018-08-04,3,f
231,Ana,Reyes,2017-01-08,4,f
232,Marisol,Garcia,2020-10-15,1,f
233,Carla,Velasquez,2019-11-07,2,f
234,Paloma,Washington,2017-11-11,4,f
235,Isaac,Santos,2018-08-22,3,f
236,Imani,Gutierrez,2017-03-27,4,f
237,Rosa,Santos,2016-03-01,5,f
238,Jonah,Foster,2015-05-08,6,f
239,Nathan,Hernandez,2018-04-03,3,f
240,Owen,Bennett,2013-04-29,8,t
241,Gavin,Acosta,2019-06-11,2,f
242,Serena,Young,2014-02-15,7,f
243,Noor,Dominguez,2018-02-08,3,f
244,Diego,Espinoza,2014-08-18,7,f
245,Yusuf,Patel,2020-11-18,1,f
246,Quentin,Begay,2015-07-01,6,t
247,Omar,Valdez,2016-11-03,5,f
248,Carlos,Garcia,2016-10-22,5,f
249,Marcus,Valdez,2018-10-21,3,f
250,Wren,Romero,2013-02-18,8,f
251,Beatriz,Ibarra,2019-05-05,2,f
252,Aaliyah,Padilla,2020-02-10,1,f
253,Esperanza,Chavez,2013-06-30,8,f
254,Dolores,Acosta,2016-06-14,5,f
255,Serena,Jackson,2016-08-16,5,t
256,Miguel,Castillo,2017-06-03,4,f
257,Kaya,Silva,2018-02-05,3,f
258,Marisol,Salazar,2020-04-12,1,f
259,Lena,Washington,2018-04-11,3,f
260,Aaliyah,Yazzie,2020-08-16,1,f
261,Uriel,Hernandez,2013-01-03,8,f
262,Benjamin,Velasquez,2018-07-23,3,f
263,Paloma,Vargas,2016-10-23,5,f
264,Sebastian,Begay,2021-03-27,0,f
265,Jasmine,Young,2016-07-14,5,f
266,Marisol,Salazar,2021-05-11,0,f
267,Tomas,Washington,2013-07-04,8,f
268,Adrian,Vasquez,2016-11-12,5,f
269,Celeste,Nguyen,2014-01-11,7,f
270,Isaac,Ibarra,2015-07-06,6,f
271,Jonah,Ortiz,2013-07-25,8,f
272,Nia,Medina,2019-10-12,2,f
273,Marcus,Vasquez,2016-01-28,5,f
274,Isaac,Vasquez,2016-12-28,5,f
275,Gabriela,Valdez,2014-11-04,7,f
276,Talia,Ramirez,2021-04-28,0,f
277,Alma,Robinson,2013-09-11,8,f
278,Carlos,Jackson,2017-09-03,4,f
279,Lena,Cruz,2018-02-20,3,f
280,Nia,Perez,2014-03-27,7,f
281,Tomas,Vargas,2019-06-14,2,f
282,Lena,Silva,2013-10-29,8,f
283,Jonah,Santos,2021-01-01,0,f
284,Tanya,Mendoza,2016-06-26,5,f
285,Yusuf,Tsosie,2019-10-09,2,f
286,Tanya,Mendoza,2016-01-17,5,f
287,Carla,Jimenez,2019-10-02,2,f
288,Samuel,Foster,2021-05-07,0,f
289,Serena,Vasquez,2020-11-10,1,f
290,Mateo,Chen,2017-08-28,4,f
291,Lucia,Valdez,2017-11-05,4,f
292,Leon,Medina,2013-04-21,8,f
293,Lucia,Vasquez,2021-06-01,0,f
294,Jonah,Chavez,2018-07-29,3,f
295,Esperanza,Ortiz,2016-10-11,5,f
296,Hana,Flores,2014-10-26,7,f
297,Marisol,Chen,2013-04-14,8,f
298,Marisol,Morales,2013-10-09,8,f
299,Imani,Delgado,2019-02-17,2,f
300,Zoe,Salazar,2020-12-20,1,f
301,Javier,Jackson,2016-12-12,5,f
302,Rafael,Tsosie,2017-04-30,4,f
303,Samuel,Hernandez,2016-10-15,5,f
304,Celeste,Chavez,2017-08-23,4,f
305,Javier,Begay,2018-05-21,3,f
306,Olivia,Lopez,2018-08-08,3,f
307,Carlos,Hernandez,2020-02-26,1,f
308,Sebastian,Hernandez,2013-12-09,8,f
309,Dolores,Bennett,2020-09-25,1,f
310,Zoe,Torres,2018-06-16,3,t
311,Marcus,Vargas,2016-11-04,5,t
312,Renata,Valdez,2020-01-12,1,f
313,Renata,Torres,2014-12-17,7,t
314,Zoe,Acosta,2014-06-20,7,f
315,Serena,Gutierrez,2014-09-05,7,f
316,Nia,Bennett,2019-12-04,2,f
317,Nia,Lopez,2013-03-27,8,f
318,Alma,Perez,2018-10-04,3,f
319,Leon,Vargas,2020-02-14,1,f
320,Isaac,Velasquez,2016-01-26,5,f
321,Dolores,Begay,2019-10-11,2,f
322,Tanya,Silva,2015-10-22,6,f
323,Jonah,Washington,2021-10-20,0,f
324,Kaya,Cruz,2013-02-06,8,f
325,Ana,Dominguez,2013-10-20,8,f
326,Hana,Rivera,2015-03-27,6,f
327,Diego,Williams,2013-05-15,8,f
328,Valeria,Cruz,2020-03-02,1,f
329,Paloma,Espinoza,2017-06-01,4,f
330,Hana,Medina,2016-10-24,5,f
331,Nadia,Perez,2020-05-03,1,f
332,Felix,Gutierrez,2017-06-24,4,t
333,Adrian,Romero,2019-05-25,2,f
334,Yusuf,Vasquez,2019-01-22,2,f
335,Gabriela,Gutierrez,2018-07-10,3,f
336,Jonah,Foster,2016-10-25,5,f
337,Marisol,Silva,2013-08-15,8,f
338,Elijah,Jimenez,2019-12-12,2,f
339,Carla,Ramirez,2021-07-09,0,f
340,Rafael,Medina,2021-03-08,0,f
341,Yara,Ibarra,2021-07-31,0,f
342,Paloma,Garcia,2019-09-25,2,f
343,Miguel,Begay,2013-01-18,8,f
344,Renata,Vargas,2017-04-06,4,f
345,Sebastian,Martinez,2020-09-17,1,f
346,Andre,Robinson,2016-07-05,5,f
347,Rafael,Santos,2018-03-29,3,f
348,Jonah,Castillo,2019-04-04,2,f
349,Aaliyah,Velasquez,2019-12-28,2,f
350,Marcus,Ramirez,2013-02-22,8,f
351,Tanya,Medina,2021-03-07,0,f
352,Paloma,Kim,2020-05-02,1,f
353,Leon,Delgado,2017-12-20,4,f
354,Nia,Vasquez,2019-07-06,2,f
355,Quentin,Nguyen,2019-11-21,2,f
356,Lucia,Martinez,2019-11-13,2,f
357,Lucia,Kim,2018-03-12,3,f
358,Samuel,Silva,2019-06-07,2,f
359,Lucia,Singh,2018-11-29,3,f
360,Sebastian,Bennett,2018-04-14,3,f
361,Hana,Singh,2019-10-14,2,f
362,Samuel,Velasquez,2021-02-16,0,f
363,Kenji,Castillo,2017-04-14,4,f
364,Victor,Valdez,2017-12-01,4,f
365,Renata,Foster,2021-11-22,0,f
366,Nadia,Robinson,2019-09-04,2,f
367,Yara,Medina,2021-12-16,0,f
368,Owen,Cruz,2013-05-09,8,f
369,Carla,Garcia,2014-12-01,7,f
370,Diego,Medina,2020-12-12,1,f
371,Rafael,Acosta,2013-07-05,8,t
372,Hana,Jimenez,2020-06-29,1,f
373,Leon,Velasquez,2019-12-06,2,f
374,Carlos,Mendoza,2015-07-04,6,f
375,Omar,Martinez,2016-03-02,5,t
376,Ana,Bennett,2017-06-12,4,f
377,Adrian,Perez,2016-06-02,5,f
378,Mateo,Romero,2017-10-26,4,f
379,Elijah,Dominguez,2015-05-14,6,f
380,Talia,Chavez,2021-08-10,0,f
381,Hector,Kim,2018-05-01,3,f
382,Rosa,Lopez,2015-08-11,6,f
383,Nadia,Vasquez,2015-05-04,6,f
384,Sebastian,Bennett,2019-07-06,2,f
385,Kenji,Ortiz,2016-07-24,5,f
386,Elijah,Velasquez,2016-08-25,5,t
387,Quentin,Delgado,2014-01-08,7,f
388,Tomas,Velasquez,2014-09-11,7,f
389,Victor,Vargas,2020-06-10,1,f
390,Ana,Romero,2016-09-27,5,f
391,Carla,Hernandez,2020-01-27,1,f
392,Benjamin,Begay,2021-02-09,0,f
393,Nadia,Garcia,2020-07-07,1,f
394,Jasmine,Patel,2015-12-16,6,f
395,Adrian,Singh,2013-12-21,8,f
396,Lucia,Jimenez,2015-04-04,6,f
397,Rafael,Dominguez,2016-01-28,5,f
398,Dolores,Sanchez,2017-10-23,4,f
399,Tomas,Ramirez,2016-11-18,5,f
400,Ana,Tsosie,2015-07-01,6,f
401,Elijah,Foster,2014-05-01,7,f
402,Nathan,Perez,2014-03-14,7,f
403,Elijah,Delgado,2017-05-20,4,f
404,Lena,Romero,2014-11-23,7,f
405,Aaliyah,Washington,2017-11-02,4,f
406,Xavier,Foster,2014-06-20,7,f
407,Xavier,Nguyen,2014-08-12,7,f
408,Jonah,Singh,2020-01-27,1,f
409,Marisol,Dominguez,2015-12-30,6,f
410,Alma,Chavez,2016-11-27,5,f
411,Xavier,Kim,2017-05-01,4,f
412,Andre,Vargas,2013-08-26,8,f
413,Leon,Begay,2017-10-13,4,f
414,Nadia,Tsosie,2021-01-09,0,f
415,Victor,Acosta,2015-01-22,6,f
416,Carla,Gomez,2015-03-24,6,f
417,Quentin,Ortiz,2018-09-21,3,f
418,Celeste,Acosta,2013-10-06,8,f
419,Beatriz,Williams,2017-11-01,4,f
420,Yusuf,Williams,2015-07-01,6,f
421,Alma,Reyes,2013-09-20,8,f
422,Quentin,Nguyen,2016-12-03,5,f
423,Hana,Romero,2020-02-03,1,f
424,Daniel,Chen,2019-03-24,2,f
425,Zoe,Williams,2018-11-09,3,t
426,Tomas,Castillo,2013-09-04,8,f
427,Paloma,Velasquez,2014-12-13,7,f
428,Lucia,Mendoza,2016-01-05,5,f
429,Andre,Young,2015-06-14,6,f
430,Quentin,Salazar,2015-03-09,6,f
431,Carlos,Vasquez,2014-07-05,7,t
432,Diego,Tsosie,2015-09-04,6,f
433,Adrian,Velasquez,2021-09-09,0,f
434,Rafael,Jimenez,2021-09-26,0,f
435,Ana,Reyes,2019-03-01,2,f
436,Tomas,Hernandez,2013-11-11,8,f
437,Lucia,Ramirez,2020-05-18,1,f
438,Hector,Mendoza,2017-10-11,4,f
439,Hector,Rivera,2013-11-05,8,f
440,Daniel,Washington,2019-09-17,2,f
441,Tomas,Gutierrez,2020-05-11,1,f
442,Gabriela,Perez,2019-05-19,2,f
443,Beatriz,Mendoza,2015-04-15,6,f
444,Samuel,Ibarra,2013-08-24,8,f
445,Mateo,Lopez,2021-10-22,0,f
446,Noor,Garcia,2018-11-06,3,f
447,Victor,Vargas,2015-08-24,6,f
448,Victor,Foster,2018-10-24,3,f
449,Dolores,Gomez,2016-07-25,5,f
450,Marisol,Rivera,2016-11-27,5,f
451,Daniel,Gomez,2013-04-20,8,f
452,Kaya,Begay,2014-02-16,7,t
453,Serena,Morales,2015-07-11,6,f
454,Rosa,Valdez,2020-07-31,1,f
455,Esperanza,Washington,2016-01-05,5,f
456,Kaya,Begay,2017-09-09,4,f
457,Nathan,Foster,2017-04-15,4,f
458,Owen,Chen,2021-11-28,0,f
459,Owen,Singh,2014-09-14,7,f
460,Owen,Jackson,2020-04-13,1,f
461,Diego,Jackson,2020-04-23,1,f
462,Rosa,Garcia,2019-01-19,2,t
463,Valeria,Medina,2015-11-22,6,f
464,Jonah,Castillo,2013-07-23,8,f
465,Adrian,Acosta,2015-01-11,6,f
466,Samuel,Morales,2018-11-20,3,f
467,Zoe,Reyes,2019-09-12,2,f
468,Zoe,Jackson,2017-01-29,4,f
469,Felix,Vasquez,2020-12-12,1,f
470,Felix,Begay,2015-08-31,6,f
471,Paloma,Jackson,2020-01-08,1,f
472,Esperanza,Cruz,2015-03-11,6,f
473,Marcus,Morales,2015-09-07,6,f
474,Miguel,Santos,2015-05-14,6,f
475,Javier,Washington,2015-07-18,6,f
476,Nadia,Vasquez,2021-03-17,0,f
477,Renata,Yazzie,2014-03-23,7,f
478,Jonah,Silva,2021-11-25,0,f
479,Kenji,Dominguez,2016-08-01,5,f
480,Renata,Patel,2021-12-06,0,f
481,Owen,Chen,2021-08-06,0,f
482,Marcus,Patel,2014-03-29,7,f
483,Jasmine,Patel,2021-09-14,0,f
484,Celeste,Medina,2020-09-17,1,f
485,Beatriz,Torres,2017-12-05,4,f
486,Renata,Gomez,2018-01-03,3,f
487,Lucia,Reyes,2016-12-08,5,f
488,Dolores,Silva,2020-11-28,1,f
489,Talia,Jackson,2013-12-18,8,f
490,Omar,Begay,2013-06-03,8,f
491,Lena,Jackson,2013-01-14,8,f
492,Nadia,Chavez,2017-10-25,4,f
493,Carlos,Gutierrez,2017-12-21,4,f
494,Imani,Washington,2013-10-24,8,f
495,Hana,Jimenez,2016-08-05,5,f
496,Rafael,Cruz,2015-11-07,6,f
497,Alma,Santos,2019-12-24,2,f
498,Olivia,Vargas,2017-02-11,4,f
499,Carla,Vargas,2015-07-05,6,f
500,Rosa,Lopez,2020-12-26,1,f
501,Rosa,Espinoza,2014-05-25,7,f
502,Noor,Reyes,2021-01-07,0,f
503,Diego,Perez,2020-12-07,1,f
504,Imani,Young,2019-09-26,2,f
505,Valeria,Tsosie,2017-06-18,4,f
506,Javier,Rivera,2021-11-05,0,f
507,Samuel,Ortiz,2016-06-23,5,f
508,Gabriela,Lopez,2016-05-08,5,f
509,Lucia,Dominguez,2021-08-13,0,f
510,Wren,Young,2020-02-05,1,f
511,Beatriz,Cruz,2014-09-30,7,f
512,Kaya,Ortiz,2019-10-11,2,f
513,Xavier,Silva,2016-01-18,5,f
514,Hector,Hernandez,2016-04-16,5,f
515,Quentin,Castillo,2014-08-08,7,f
516,Isaac,Santos,2020-07-11,1,f
517,Yusuf,Ibarra,2017-10-31,4,f
518,Adrian,Reyes,2017-02-26,4,f
519,Uriel,Singh,2021-07-19,0,f
520,Lena,Williams,2020-11-24,1,f
521,Olivia,Acosta,2014-07-09,7,f
522,Owen,Hernandez,2016-10-13,5,f
523,Jonah,Rivera,2016-04-04,5,f
524,Hector,Padilla,2017-06-08,4,f
525,Imani,Ortiz,2019-03-02,2,t
526,Renata,Foster,2019-03-16,2,f
527,Carlos,Ibarra,2018-12-24,3,f
528,Felix,Reyes,2017-05-25,4,f
529,Jonah,Torres,2016-04-27,5,f
530,Aaliyah,Morales,2015-11-09,6,f
531,Miguel,Torres,2014-04-04,7,f
532,Elijah,Perez,2017-04-28,4,f
533,Marcus,Gomez,2021-07-06,0,f
534,Jonah,Romero,2021-02-15,0,f
535,Miguel,Ibarra,2014-11-26,7,f
536,Uriel,Perez,2018-01-23,3,f
537,Nia,Washington,2014-10-20,7,f
538,Isaac,Gutierrez,2019-08-10,2,f
539,Alma,Robinson,2013-07-21,8,f
540,Carlos,Acosta,2019-03-20,2,f
541,Tanya,Gomez,2015-07-02,6,f
542,Samuel,Singh,2019-08-30,2,f
543,Carla,Castillo,2014-08-03,7,f
544,Noor,Cruz,2013-02-23,8,f
545,Carla,Mendoza,2014-01-12,7,f
546,Isaac,Rivera,2017-07-29,4,f
547,Lena,Silva,2020-10-23,1,f
548,Rosa,Salazar,2016-01-18,5,f
549,Leon,Gutierrez,2021-02-07,0,t
550,Javier,Reyes,2014-01-09,7,t
551,Wren,Medina,2015-10-07,6,f
552,Imani,Foster,2016-12-25,5,f
553,Imani,Rivera,2013-05-14,8,f
554,Ana,Silva,2013-01-15,8,f
555,Wren,Vargas,2017-09-22,4,f
556,Samuel,Medina,2016-08-27,5,f
557,Samuel,Ibarra,2019-11-08,2,f
558,Nia,Torres,2018-11-25,3,f
559,Noor,Young,2019-12-24,2,f
560,Imani,Robinson,2014-07-19,7,f
561,Talia,Ramirez,2020-03-16,1,f
562,Yara,Delgado,2014-01-19,7,f
563,Carla,Young,2014-05-24,7,t
564,Talia,Velasquez,2016-04-15,5,t
565,Tanya,Castillo,2016-06-10,5,f
566,Yara,Padilla,2019-07-24,2,f
567,Zoe,Acosta,2016-01-08,5,f
568,Elijah,Silva,2014-12-12,7,f
569,Dolores,Torres,2017-01-07,4,f
570,Imani,Martinez,2016-07-25,5,f
571,Adrian,Ibarra,2016-08-13,5,f
572,Paloma,Chen,2017-05-19,4,f
573,Yusuf,Reyes,2017-03-11,4,f
574,Daniel,Foster,2021-08-15,0,f
575,Aaliyah,Garcia,2018-04-22,3,f
576,Ana,Chen,2019-07-25,2,f
577,Alma,Singh,2014-04-14,7,f
578,Noor,Washington,2019-05-22,2,f
579,Marcus,Mendoza,2019-07-31,2,f
580,Zoe,Torres,2017-03-27,4,f
581,Alma,Young,2017-03-27,4,f
582,Serena,Nguyen,2014-07-13,7,f
583,Isaac,Young,2018-02-20,3,t
584,Xavier,Delgado,2018-09-26,3,f
585,Victor,Chavez,2018-08-21,3,f
586,Olivia,Salazar,2016-05-16,5,f
587,Carlos,Ramirez,2019-05-11,2,f
588,Alma,Gutierrez,2013-01-23,8,f
589,Dolores,Yazzie,2014-02-03,7,f
590,Hector,Rivera,2015-02-02,6,f
591,Javier,Salazar,2016-06-21,5,f
592,Gavin,Hernandez,2013-05-21,8,f
593,Beatriz,Castillo,2016-06-27,5,f
594,Rosa,Vasquez,2019-10-12,2,f
595,Olivia,Flores,2015-12-15,6,t
596,Diego,Morales,2014-05-02,7,f
597,Rafael,Begay,2019-01-20,2,t
598,Zoe,Martinez,2021-08-12,0,t
599,Rosa,Castillo,2017-07-18,4,f
600,Carla,Reyes,2013-09-25,8,f
601,Alma,Valdez,2015-06-02,6,f
602,Samuel,Reyes,2015-11-25,6,t
603,Owen,Foster,2018-06-25,3,f
604,Lucia,Patel,2021-06-11,0,f
605,Jasmine,Garcia,2015-04-28,6,f
606,Miguel,Washington,2021-02-28,0,f
607,Lena,Silva,2019-04-29,2,f
608,Renata,Ramirez,2015-03-24,6,f
609,Marcus,Jimenez,2019-03-12,2,f
610,Noor,Kim,2013-09-19,8,f
611,Valeria,Tsosie,2020-01-19,1,f
612,Sebastian,Kim,2013-11-15,8,f
613,Carla,Jackson,2016-03-26,5,f
614,Rafael,Begay,2020-09-10,1,f
